"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40459","resource_library","ingo-portal","Tue May 12 08:30:32 UTC 2026","passed","Tue May 12 08:31:12 UTC 2026","","ingo.spec.js","",""
"","29037","boardandteams","network-portal","Tue May 12 08:45:32 UTC 2026","failed","Tue May 12 08:46:01 UTC 2026","","network.spec.js","",""
"","2710","individual_signup_email","public-site","Tue May 12 08:20:29 UTC 2026","passed","Tue May 12 08:20:32 UTC 2026","","entrypoint.spec.js","",""
"","16422","members_page","individual-portal","Tue May 12 08:25:13 UTC 2026","passed","Tue May 12 08:25:29 UTC 2026","","individual.spec.js","",""
"","2298","individual_signup_landing","public-site","Tue May 12 08:20:26 UTC 2026","passed","Tue May 12 08:20:29 UTC 2026","","entrypoint.spec.js","",""
"","7908","grants","cso-portal","Tue May 12 08:41:18 UTC 2026","passed","Tue May 12 08:41:26 UTC 2026","","cso.spec.js","",""
"","6139","homepage_newsletter","public-site","Tue May 12 08:20:20 UTC 2026","passed","Tue May 12 08:20:26 UTC 2026","","entrypoint.spec.js","",""
"","32102","userprofile_about_who_are_we","network-portal","Tue May 12 08:42:44 UTC 2026","failed","Tue May 12 08:43:16 UTC 2026","","network.spec.js","",""
"","8177","userfeeds","network-portal","Tue May 12 08:44:28 UTC 2026","passed","Tue May 12 08:44:36 UTC 2026","","network.spec.js","",""
"","2036","kuja_team","public-site","Tue May 12 08:20:26 UTC 2026","passed","Tue May 12 08:20:28 UTC 2026","","entrypoint.spec.js","",""
"","14760","profileSettings","ingo-portal","Tue May 12 08:31:12 UTC 2026","passed","Tue May 12 08:31:27 UTC 2026","","ingo.spec.js","",""
"","32216","profile_Skills","individual-portal","Tue May 12 08:24:21 UTC 2026","failed","Tue May 12 08:24:53 UTC 2026","","individual.spec.js","",""
"","15133","profileSettings","network-portal","Tue May 12 08:44:14 UTC 2026","passed","Tue May 12 08:44:29 UTC 2026","","network.spec.js","",""
"","8928","authenticate with email OTP for ingo","setup-ingo","Tue May 12 08:20:11 UTC 2026","passed","Tue May 12 08:20:20 UTC 2026","","ingo.auth.setup.js","",""
"","16706","members_page","cso-portal","Tue May 12 08:36:48 UTC 2026","passed","Tue May 12 08:37:05 UTC 2026","","cso.spec.js","",""
"","40360","resource_library","individual-portal","Tue May 12 08:25:13 UTC 2026","passed","Tue May 12 08:25:53 UTC 2026","","individual.spec.js","",""
"","8122","userfeeds","ingo-portal","Tue May 12 08:31:21 UTC 2026","passed","Tue May 12 08:31:30 UTC 2026","","ingo.spec.js","",""
"","8548","dm_chat","individual-portal","Tue May 12 08:26:01 UTC 2026","passed","Tue May 12 08:26:09 UTC 2026","","individual.spec.js","",""
