"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20724","resource_library","cso-portal","Thu May 21 09:15:09 UTC 2026","passed","Thu May 21 09:15:30 UTC 2026","","cso.spec.js","",""
"","5518","notifications","ingo-portal","Thu May 21 09:12:51 UTC 2026","passed","Thu May 21 09:12:56 UTC 2026","","ingo.spec.js","",""
"","13577","members_page","network-portal","Thu May 21 09:16:08 UTC 2026","passed","Thu May 21 09:16:22 UTC 2026","","network.spec.js","",""
"","5541","linkedin_login","public-site","Thu May 21 09:09:39 UTC 2026","passed","Thu May 21 09:09:45 UTC 2026","","entrypoint.spec.js","",""
"","4545","funding_practices","ingo-portal","Thu May 21 09:11:43 UTC 2026","passed","Thu May 21 09:11:47 UTC 2026","","ingo.spec.js","",""
"","6728","org_signup_landing","public-site","Thu May 21 09:09:45 UTC 2026","passed","Thu May 21 09:09:51 UTC 2026","","entrypoint.spec.js","",""
"","1643","homepage-kuja_link_and_build_cards","public-site","Thu May 21 09:09:15 UTC 2026","passed","Thu May 21 09:09:16 UTC 2026","","entrypoint.spec.js","",""
"","23467","the_projects","network-portal","Thu May 21 09:16:01 UTC 2026","passed","Thu May 21 09:16:25 UTC 2026","","network.spec.js","",""
"","14070","profileSettings","network-portal","Thu May 21 09:16:25 UTC 2026","passed","Thu May 21 09:16:39 UTC 2026","","network.spec.js","",""
"","20623","resource_library","network-portal","Thu May 21 09:16:22 UTC 2026","passed","Thu May 21 09:16:42 UTC 2026","","network.spec.js","",""
"","5862","userfeeds","ingo-portal","Thu May 21 09:12:02 UTC 2026","passed","Thu May 21 09:12:07 UTC 2026","","ingo.spec.js","",""
"","3866","workwedo","ingo-portal","Thu May 21 09:12:13 UTC 2026","passed","Thu May 21 09:12:17 UTC 2026","","ingo.spec.js","",""
"","5470","partnership_requirements","ingo-portal","Thu May 21 09:11:42 UTC 2026","passed","Thu May 21 09:11:47 UTC 2026","","ingo.spec.js","",""
"","4445","individual_signup_email_fill","public-site","Thu May 21 09:09:35 UTC 2026","passed","Thu May 21 09:09:39 UTC 2026","","entrypoint.spec.js","",""
"","11490","organizationgovernance_edit","cso-portal","Thu May 21 09:15:43 UTC 2026","passed","Thu May 21 09:15:54 UTC 2026","","cso.spec.js","",""
"","5347","userfeeds","network-portal","Thu May 21 09:16:39 UTC 2026","passed","Thu May 21 09:16:44 UTC 2026","","network.spec.js","",""
"","14441","profile_Languages","individual-portal","Thu May 21 09:10:40 UTC 2026","passed","Thu May 21 09:10:55 UTC 2026","","individual.spec.js","",""
"","3928","_login_google","public-site","Thu May 21 09:09:36 UTC 2026","passed","Thu May 21 09:09:40 UTC 2026","","entrypoint.spec.js","",""
"","1101","homepage_partners","public-site","Thu May 21 09:09:24 UTC 2026","passed","Thu May 21 09:09:25 UTC 2026","","entrypoint.spec.js","",""
"","14316","profile_Roles","individual-portal","Thu May 21 09:10:42 UTC 2026","passed","Thu May 21 09:10:56 UTC 2026","","individual.spec.js","",""
"","14001","profile_focus_areas","individual-portal","Thu May 21 09:10:26 UTC 2026","passed","Thu May 21 09:10:40 UTC 2026","","individual.spec.js","",""
"","4459","organizationgovernance_view","network-portal","Thu May 21 09:16:55 UTC 2026","passed","Thu May 21 09:16:59 UTC 2026","","network.spec.js","",""
"","5136","userprofile_banners","network-portal","Thu May 21 09:15:56 UTC 2026","passed","Thu May 21 09:16:01 UTC 2026","","network.spec.js","",""
"","1180","kuja_team","public-site","Thu May 21 09:09:28 UTC 2026","passed","Thu May 21 09:09:29 UTC 2026","","entrypoint.spec.js","",""
"","15926","profile_Skills","individual-portal","Thu May 21 09:10:48 UTC 2026","passed","Thu May 21 09:11:04 UTC 2026","","individual.spec.js","",""
"","27283","funding_opportunities","ingo-portal","Thu May 21 09:12:02 UTC 2026","failed","Thu May 21 09:12:29 UTC 2026","","ingo.spec.js","",""
"","14129","profileSettings","ingo-portal","Thu May 21 09:11:47 UTC 2026","passed","Thu May 21 09:12:02 UTC 2026","","ingo.spec.js","",""
"","4382","userprofile_banners","cso-portal","Thu May 21 09:13:14 UTC 2026","passed","Thu May 21 09:13:18 UTC 2026","","cso.spec.js","",""
"","2140","individual_signup_email","public-site","Thu May 21 09:09:33 UTC 2026","passed","Thu May 21 09:09:35 UTC 2026","","entrypoint.spec.js","",""
"","4411","workwedo","cso-portal","Thu May 21 09:15:39 UTC 2026","passed","Thu May 21 09:15:43 UTC 2026","","cso.spec.js","",""
"","5403","grants_learn_more","ingo-portal","Thu May 21 09:13:01 UTC 2026","passed","Thu May 21 09:13:07 UTC 2026","","ingo.spec.js","",""
"","5365","operationaloverview","cso-portal","Thu May 21 09:15:39 UTC 2026","passed","Thu May 21 09:15:44 UTC 2026","","cso.spec.js","",""
"","5025","grants","ingo-portal","Thu May 21 09:12:56 UTC 2026","passed","Thu May 21 09:13:01 UTC 2026","","ingo.spec.js","",""
"","16430","organizationgovernance_view","ingo-portal","Thu May 21 09:12:33 UTC 2026","failed","Thu May 21 09:12:49 UTC 2026","","ingo.spec.js","",""
"","5063","networkmembers","network-portal","Thu May 21 09:16:44 UTC 2026","passed","Thu May 21 09:16:49 UTC 2026","","network.spec.js","",""
"","14292","profile_Affiliated","individual-portal","Thu May 21 09:10:55 UTC 2026","passed","Thu May 21 09:11:09 UTC 2026","","individual.spec.js","",""
"","5263","unlockfullpotential","network-portal","Thu May 21 09:16:49 UTC 2026","passed","Thu May 21 09:16:55 UTC 2026","","network.spec.js","",""
"","6962","authenticate with email OTP for cso","setup-cso","Thu May 21 09:08:50 UTC 2026","passed","Thu May 21 09:08:57 UTC 2026","","cso.auth.setup.js","",""
"","6838","authenticate with email OTP for networks","setup-network","Thu May 21 09:08:50 UTC 2026","passed","Thu May 21 09:08:57 UTC 2026","","network.auth.setup.js","",""
"","14099","profileSettings","individual-portal","Thu May 21 09:11:11 UTC 2026","passed","Thu May 21 09:11:26 UTC 2026","","individual.spec.js","",""
"","14455","members_page","cso-portal","Thu May 21 09:14:59 UTC 2026","passed","Thu May 21 09:15:14 UTC 2026","","cso.spec.js","",""
"","5009","homepage_newsletter","public-site","Thu May 21 09:09:19 UTC 2026","passed","Thu May 21 09:09:24 UTC 2026","","entrypoint.spec.js","",""
"","24932","the_projects","cso-portal","Thu May 21 09:14:34 UTC 2026","passed","Thu May 21 09:14:59 UTC 2026","","cso.spec.js","",""
"","21856","twitter_login","public-site","Thu May 21 09:10:03 UTC 2026","failed","Thu May 21 09:10:25 UTC 2026","","entrypoint.spec.js","",""
"","5722","dm_chat","network-portal","Thu May 21 09:17:06 UTC 2026","passed","Thu May 21 09:17:12 UTC 2026","","network.spec.js","",""
"","15096","profile_burners","individual-portal","Thu May 21 09:10:56 UTC 2026","passed","Thu May 21 09:11:11 UTC 2026","","individual.spec.js","",""
"","1533","homepage_kuja_values","public-site","Thu May 21 09:09:17 UTC 2026","passed","Thu May 21 09:09:19 UTC 2026","","entrypoint.spec.js","",""
"","60275","organizationgovernance_edit","ingo-portal","Thu May 21 09:13:32 UTC 2026","broken","Thu May 21 09:14:32 UTC 2026","","ingo.spec.js","",""
"","8673","boardandteams","cso-portal","Thu May 21 09:15:30 UTC 2026","passed","Thu May 21 09:15:39 UTC 2026","","cso.spec.js","",""
"","20874","resource_library","ingo-portal","Thu May 21 09:11:47 UTC 2026","passed","Thu May 21 09:12:08 UTC 2026","","ingo.spec.js","",""
"","7548","authenticate with email OTP for ingo","setup-ingo","Thu May 21 09:09:16 UTC 2026","passed","Thu May 21 09:09:24 UTC 2026","","ingo.auth.setup.js","",""
"","60216","the_forumss","ingo-portal","Thu May 21 09:14:08 UTC 2026","broken","Thu May 21 09:15:08 UTC 2026","","ingo.spec.js","",""
"","5858","grants","cso-portal","Thu May 21 09:15:49 UTC 2026","passed","Thu May 21 09:15:55 UTC 2026","","cso.spec.js","",""
"","5275","unlockfullpotential","cso-portal","Thu May 21 09:15:33 UTC 2026","passed","Thu May 21 09:15:39 UTC 2026","","cso.spec.js","",""
"","2454","about_us_landing","public-site","Thu May 21 09:09:26 UTC 2026","passed","Thu May 21 09:09:28 UTC 2026","","entrypoint.spec.js","",""
"","4894","operationaloverview","network-portal","Thu May 21 09:16:55 UTC 2026","passed","Thu May 21 09:17:00 UTC 2026","","network.spec.js","",""
"","3978","workwedo","network-portal","Thu May 21 09:16:51 UTC 2026","passed","Thu May 21 09:16:55 UTC 2026","","network.spec.js","",""
"","24590","operationaloverview","ingo-portal","Thu May 21 09:12:41 UTC 2026","failed","Thu May 21 09:13:05 UTC 2026","","ingo.spec.js","",""
"","13992","profileSettings","cso-portal","Thu May 21 09:15:14 UTC 2026","passed","Thu May 21 09:15:28 UTC 2026","","cso.spec.js","",""
"","11291","organizationgovernance_edit","network-portal","Thu May 21 09:16:59 UTC 2026","passed","Thu May 21 09:17:11 UTC 2026","","network.spec.js","",""
"","8682","boardandteams","network-portal","Thu May 21 09:16:42 UTC 2026","passed","Thu May 21 09:16:51 UTC 2026","","network.spec.js","",""
"","3311","individual_signup_google_signup","public-site","Thu May 21 09:09:29 UTC 2026","passed","Thu May 21 09:09:33 UTC 2026","","entrypoint.spec.js","",""
"","6973","authenticate with email OTP","setup-individual","Thu May 21 09:08:59 UTC 2026","passed","Thu May 21 09:09:06 UTC 2026","","individual.auth.setup.js","",""
"","13626","members_page","individual-portal","Thu May 21 09:11:04 UTC 2026","passed","Thu May 21 09:11:18 UTC 2026","","individual.spec.js","",""
"","6519","notifications","network-portal","Thu May 21 09:17:00 UTC 2026","passed","Thu May 21 09:17:06 UTC 2026","","network.spec.js","",""
"","5926","dm_chat","cso-portal","Thu May 21 09:15:44 UTC 2026","passed","Thu May 21 09:15:50 UTC 2026","","cso.spec.js","",""
"","1615","individual_signup_landing","public-site","Thu May 21 09:09:29 UTC 2026","passed","Thu May 21 09:09:30 UTC 2026","","entrypoint.spec.js","",""
"","7907","homepage","public-site","Thu May 21 09:09:07 UTC 2026","passed","Thu May 21 09:09:15 UTC 2026","","entrypoint.spec.js","",""
"","11362","userprofile_about_who_are_we","network-portal","Thu May 21 09:15:57 UTC 2026","passed","Thu May 21 09:16:08 UTC 2026","","network.spec.js","",""
"","4361","organizationgovernance_view","cso-portal","Thu May 21 09:15:39 UTC 2026","passed","Thu May 21 09:15:44 UTC 2026","","cso.spec.js","",""
"","5414","partnersandnetworks","cso-portal","Thu May 21 09:15:34 UTC 2026","passed","Thu May 21 09:15:39 UTC 2026","","cso.spec.js","",""
"","5572","profile_social","individual-portal","Thu May 21 09:10:26 UTC 2026","passed","Thu May 21 09:10:32 UTC 2026","","individual.spec.js","",""
"","5576","notifications","cso-portal","Thu May 21 09:15:44 UTC 2026","passed","Thu May 21 09:15:49 UTC 2026","","cso.spec.js","",""
"","5544","userfeeds","cso-portal","Thu May 21 09:15:28 UTC 2026","passed","Thu May 21 09:15:33 UTC 2026","","cso.spec.js","",""
"","5887","dm_chat","ingo-portal","Thu May 21 09:13:07 UTC 2026","passed","Thu May 21 09:13:13 UTC 2026","","ingo.spec.js","",""
"","60470","the_forumss","network-portal","Thu May 21 09:16:59 UTC 2026","broken","Thu May 21 09:18:00 UTC 2026","","network.spec.js","",""
"","3503","about_us_what_can_kuja_do_for_you","public-site","Thu May 21 09:09:25 UTC 2026","passed","Thu May 21 09:09:29 UTC 2026","","entrypoint.spec.js","",""
"","11391","userprofile_about_who_are_we","cso-portal","Thu May 21 09:13:19 UTC 2026","passed","Thu May 21 09:13:30 UTC 2026","","cso.spec.js","",""
"","1613","individual_login_confirmpage_details","public-site","Thu May 21 09:09:35 UTC 2026","passed","Thu May 21 09:09:36 UTC 2026","","entrypoint.spec.js","",""
"","20991","resource_library","individual-portal","Thu May 21 09:11:09 UTC 2026","passed","Thu May 21 09:11:30 UTC 2026","","individual.spec.js","",""
"","5380","grants_learn_more","cso-portal","Thu May 21 09:15:50 UTC 2026","passed","Thu May 21 09:15:56 UTC 2026","","cso.spec.js","",""
"","11219","userprofile_about_who_are_we","ingo-portal","Thu May 21 09:11:31 UTC 2026","passed","Thu May 21 09:11:42 UTC 2026","","ingo.spec.js","",""
"","4949","grants","network-portal","Thu May 21 09:17:11 UTC 2026","passed","Thu May 21 09:17:16 UTC 2026","","network.spec.js","",""
"","4249","individual_signup__linkedin","public-site","Thu May 21 09:09:30 UTC 2026","passed","Thu May 21 09:09:34 UTC 2026","","entrypoint.spec.js","",""
"","22738","Open Browser","public-site","Thu May 21 09:09:22 UTC 2026","failed","Thu May 21 09:09:45 UTC 2026","","entrypoint.spec.js","",""
"","60624","the_forumss","cso-portal","Thu May 21 09:14:31 UTC 2026","broken","Thu May 21 09:15:32 UTC 2026","","cso.spec.js","",""
"","4184","userfeeds","individual-portal","Thu May 21 09:11:18 UTC 2026","passed","Thu May 21 09:11:22 UTC 2026","","individual.spec.js","",""
"","6190","dm_chat","individual-portal","Thu May 21 09:11:26 UTC 2026","passed","Thu May 21 09:11:32 UTC 2026","","individual.spec.js","",""
"","8433","boardandteams","ingo-portal","Thu May 21 09:12:07 UTC 2026","passed","Thu May 21 09:12:16 UTC 2026","","ingo.spec.js","",""
"","8815","partners_ingo","ingo-portal","Thu May 21 09:11:33 UTC 2026","passed","Thu May 21 09:11:42 UTC 2026","","ingo.spec.js","",""
"","5131","userprofile_banners","ingo-portal","Thu May 21 09:11:29 UTC 2026","passed","Thu May 21 09:11:35 UTC 2026","","ingo.spec.js","",""
"","7228","profile_bio","individual-portal","Thu May 21 09:10:33 UTC 2026","failed","Thu May 21 09:10:40 UTC 2026","","individual.spec.js","",""
"","5996","notifications","individual-portal","Thu May 21 09:11:22 UTC 2026","passed","Thu May 21 09:11:28 UTC 2026","","individual.spec.js","",""
"","939","homepage_kuja_listens_to_you","public-site","Thu May 21 09:09:16 UTC 2026","passed","Thu May 21 09:09:17 UTC 2026","","entrypoint.spec.js","",""
"","5062","grants_learn_more","network-portal","Thu May 21 09:17:12 UTC 2026","passed","Thu May 21 09:17:17 UTC 2026","","network.spec.js","",""
"","5334","unlockfullpotential","ingo-portal","Thu May 21 09:12:08 UTC 2026","passed","Thu May 21 09:12:13 UTC 2026","","ingo.spec.js","",""
