"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14878","profileSettings","individual-portal","Wed May 13 12:09:03 UTC 2026","passed","Wed May 13 12:09:18 UTC 2026","","individual.spec.js","",""
"","6981","grants","network-portal","Wed May 13 12:15:27 UTC 2026","passed","Wed May 13 12:15:34 UTC 2026","","network.spec.js","",""
"","7266","notifications","network-portal","Wed May 13 12:15:17 UTC 2026","passed","Wed May 13 12:15:25 UTC 2026","","network.spec.js","",""
"","9753","profile_bio","individual-portal","Wed May 13 12:08:20 UTC 2026","failed","Wed May 13 12:08:29 UTC 2026","","individual.spec.js","",""
"","6252","userprofile_banners","ingo-portal","Wed May 13 12:09:23 UTC 2026","passed","Wed May 13 12:09:29 UTC 2026","","ingo.spec.js","",""
"","2570","individual_signup_email","public-site","Wed May 13 12:07:15 UTC 2026","passed","Wed May 13 12:07:18 UTC 2026","","entrypoint.spec.js","",""
"","5628","networkmembers","network-portal","Wed May 13 12:14:58 UTC 2026","passed","Wed May 13 12:15:04 UTC 2026","","network.spec.js","",""
"","15248","members_page","network-portal","Wed May 13 12:14:12 UTC 2026","passed","Wed May 13 12:14:27 UTC 2026","","network.spec.js","",""
"","40088","resource_library","cso-portal","Wed May 13 12:12:57 UTC 2026","passed","Wed May 13 12:13:37 UTC 2026","","cso.spec.js","",""
"","14447","profileSettings","network-portal","Wed May 13 12:14:27 UTC 2026","passed","Wed May 13 12:14:41 UTC 2026","","network.spec.js","",""
"","7464","authenticate with email OTP for cso","setup-cso","Wed May 13 12:06:51 UTC 2026","passed","Wed May 13 12:06:58 UTC 2026","","cso.auth.setup.js","",""
"","7660","notifications","ingo-portal","Wed May 13 12:10:25 UTC 2026","passed","Wed May 13 12:10:33 UTC 2026","","ingo.spec.js","",""
"","15665","organizationgovernance_view","ingo-portal","Wed May 13 12:10:09 UTC 2026","passed","Wed May 13 12:10:25 UTC 2026","","ingo.spec.js","",""
"","6062","workwedo","cso-portal","Wed May 13 12:13:36 UTC 2026","passed","Wed May 13 12:13:42 UTC 2026","","cso.spec.js","",""
"","7814","userfeeds","cso-portal","Wed May 13 12:13:21 UTC 2026","passed","Wed May 13 12:13:29 UTC 2026","","cso.spec.js","",""
"","15112","profile_Affiliated","individual-portal","Wed May 13 12:08:42 UTC 2026","passed","Wed May 13 12:08:57 UTC 2026","","individual.spec.js","",""
"","9360","boardandteams","cso-portal","Wed May 13 12:13:23 UTC 2026","passed","Wed May 13 12:13:32 UTC 2026","","cso.spec.js","",""
"","9112","partners_ingo","ingo-portal","Wed May 13 12:09:29 UTC 2026","passed","Wed May 13 12:09:38 UTC 2026","","ingo.spec.js","",""
"","11778","organizationgovernance_edit","network-portal","Wed May 13 12:15:16 UTC 2026","passed","Wed May 13 12:15:27 UTC 2026","","network.spec.js","",""
"","11998","organizationgovernance_edit","cso-portal","Wed May 13 12:13:42 UTC 2026","passed","Wed May 13 12:13:54 UTC 2026","","cso.spec.js","",""
"","11647","userprofile_about_who_are_we","network-portal","Wed May 13 12:14:00 UTC 2026","passed","Wed May 13 12:14:11 UTC 2026","","network.spec.js","",""
"","5755","grants_learn_more","network-portal","Wed May 13 12:15:33 UTC 2026","passed","Wed May 13 12:15:38 UTC 2026","","network.spec.js","",""
"","7310","dm_chat","individual-portal","Wed May 13 12:09:18 UTC 2026","passed","Wed May 13 12:09:25 UTC 2026","","individual.spec.js","",""
"","2934","about_us_landing","public-site","Wed May 13 12:07:08 UTC 2026","passed","Wed May 13 12:07:11 UTC 2026","","entrypoint.spec.js","",""
"","7834","userfeeds","ingo-portal","Wed May 13 12:09:47 UTC 2026","passed","Wed May 13 12:09:55 UTC 2026","","ingo.spec.js","",""
"","6394","funding_practices","ingo-portal","Wed May 13 12:09:39 UTC 2026","passed","Wed May 13 12:09:45 UTC 2026","","ingo.spec.js","",""
"","1846","kuja_team","public-site","Wed May 13 12:07:11 UTC 2026","passed","Wed May 13 12:07:13 UTC 2026","","entrypoint.spec.js","",""
"","60491","the_forumss","cso-portal","Wed May 13 12:12:19 UTC 2026","broken","Wed May 13 12:13:20 UTC 2026","","cso.spec.js","",""
"","5538","individual_signup_email_fill","public-site","Wed May 13 12:07:18 UTC 2026","passed","Wed May 13 12:07:24 UTC 2026","","entrypoint.spec.js","",""
"","5969","unlockfullpotential","network-portal","Wed May 13 12:15:04 UTC 2026","passed","Wed May 13 12:15:10 UTC 2026","","network.spec.js","",""
"","4933","_login_google","public-site","Wed May 13 12:07:20 UTC 2026","passed","Wed May 13 12:07:25 UTC 2026","","entrypoint.spec.js","",""
"","40463","resource_library","individual-portal","Wed May 13 12:08:57 UTC 2026","passed","Wed May 13 12:09:37 UTC 2026","","individual.spec.js","",""
