"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8556","boardandteams","ingo-portal","Thu May 14 12:00:50 UTC 2026","passed","Thu May 14 12:00:59 UTC 2026","","ingo.spec.js","",""
"","4948","userprofile_banners","ingo-portal","Thu May 14 12:00:16 UTC 2026","passed","Thu May 14 12:00:21 UTC 2026","","ingo.spec.js","",""
"","6246","notifications","network-portal","Thu May 14 12:05:34 UTC 2026","passed","Thu May 14 12:05:40 UTC 2026","","network.spec.js","",""
"","4902","grants_learn_more","network-portal","Thu May 14 12:05:46 UTC 2026","passed","Thu May 14 12:05:51 UTC 2026","","network.spec.js","",""
"","5424","notifications","ingo-portal","Thu May 14 12:01:17 UTC 2026","passed","Thu May 14 12:01:23 UTC 2026","","ingo.spec.js","",""
"","5256","partnership_requirements","ingo-portal","Thu May 14 12:00:39 UTC 2026","passed","Thu May 14 12:00:45 UTC 2026","","ingo.spec.js","",""
"","60268","organizationgovernance_edit","ingo-portal","Thu May 14 12:02:05 UTC 2026","broken","Thu May 14 12:03:05 UTC 2026","","ingo.spec.js","",""
"","14063","profileSettings","network-portal","Thu May 14 12:04:58 UTC 2026","passed","Thu May 14 12:05:12 UTC 2026","","network.spec.js","",""
"","5306","unlockfullpotential","ingo-portal","Thu May 14 12:00:58 UTC 2026","passed","Thu May 14 12:01:03 UTC 2026","","ingo.spec.js","",""
"","5631","dm_chat","ingo-portal","Thu May 14 12:01:34 UTC 2026","passed","Thu May 14 12:01:39 UTC 2026","","ingo.spec.js","",""
"","7992","homepage","public-site","Thu May 14 11:59:10 UTC 2026","passed","Thu May 14 11:59:18 UTC 2026","","entrypoint.spec.js","",""
"","3930","operationaloverview","network-portal","Thu May 14 12:05:29 UTC 2026","passed","Thu May 14 12:05:33 UTC 2026","","network.spec.js","",""
"","975","homepage_kuja_listens_to_you","public-site","Thu May 14 11:59:14 UTC 2026","passed","Thu May 14 11:59:15 UTC 2026","","entrypoint.spec.js","",""
"","4662","userprofile_banners","network-portal","Thu May 14 12:04:28 UTC 2026","passed","Thu May 14 12:04:33 UTC 2026","","network.spec.js","",""
"","5395","grants","network-portal","Thu May 14 12:05:44 UTC 2026","passed","Thu May 14 12:05:49 UTC 2026","","network.spec.js","",""
"","1017","homepage_partners","public-site","Thu May 14 11:59:19 UTC 2026","passed","Thu May 14 11:59:20 UTC 2026","","entrypoint.spec.js","",""
